Name,DEQ Number,Title,Document Date
DAQ-2013-002444 - 0901a0688035207f,DAQ-2013-002444,Big West Oil Co. - 1/31/2013 Breakdown Report for the MSCC Unit,2/12/2013
DAQ-2013-002445 - 0901a06880352066,DAQ-2013-002445,"Big West Oil Co. - Semiannual 40 CFR 63, Subpart DDDDD Report - 6/30/2012 to 12/31/2012",1/29/2013
DAQ-2013-002446 - 0901a06880352081,DAQ-2013-002446,Big West Oil Co. - MACT II Semiannual Report - 7/1//2012 to 12/31/2012,1/30/2013
DAQ-2013-003216 - 0901a06880363b15,DAQ-2013-003216,Big West Oil - Sulfur Recovery Unit Shutdown/Turnaround Schedule,3/13/2013
DAQ-2013-003217 - 0901a06880363b16,DAQ-2013-003217,Big West Oil - MACT Semiannual Report - 7/16/2012 to 1/15/2013,3/12/2013
DAQ-2013-003218 - 0901a06880363b17,DAQ-2013-003218,Big West Oil - Breakdown Report for Tank 59 - 12/26/2012,2/14/2013
DAQ-2013-003219 - 0901a06880363b18,DAQ-2013-003219,Big West Oil - Request for additional 30-day extension re: Breakdown Report for Tank 59 - 12/26/2012,3/12/2013
DAQ-2013-003220 - 0901a06880363b19,DAQ-2013-003220,Big West Oil - Breakdown Report for MSCC Unit - 2/21/2013,3/4/2013
DAQ-2013-003221 - 0901a06880363b4e,DAQ-2013-003221,Big West Oil - Breakdown Report for MSCC Unit - 3/7/2013,3/7/2013
DAQ-2013-003222 - 0901a06880363b4f,DAQ-2013-003222,Big West Oil - Partial Compliance Evaluation #1 of 4 (storage tanks),3/6/2013
DAQ-2013-003610 - 0901a06880368d76,DAQ-2013-003610,Big West Oil Co. - Pretest Protocol Review letter,4/4/2013
DAQ-2013-003611 - 0901a06880368d77,DAQ-2013-003611,Big West Oil Co. - Pretest Protocol Review memo & Protocol dated 3/26/2013,3/28/2013
DAQ-2013-004413 - 0901a0688037703a,DAQ-2013-004413,Big West Oil - 1st Qtr 2013 VOC Monitoring Report,4/15/2013
DAQ-2013-004414 - 0901a0688037703b,DAQ-2013-004414,Big West Oil - Upgrade to Secondary Substation 7,3/27/2013
DAQ-2013-004415 - 0901a068803770b6,DAQ-2013-004415,Big West Oil - Notice of Compliance Status for Cooling Towers (40 CFR 63 Subpart CC),3/26/2013
DAQ-2013-004416 - 0901a068803770b7,DAQ-2013-004416,Big West Oil - Breakdown Report for the MSCC Unit - 3/7/2013,3/21/2013
DAQ-2013-004417 - 0901a068803770b8,DAQ-2013-004417,Big West Oil - Breakdown Report for the MSCC Unit - 3/13/2013,3/21/2013
DAQ-2013-004418 - 0901a068803770b9,DAQ-2013-004418,Big West Oil - Notification of Tank 59 Returning to Service,4/10/2013
DAQ-2013-004419 - 0901a068803770ba,DAQ-2013-004419,Big West Oil - Partial Inspection - RA/PST Audits,4/15/2013
DAQ-2013-004525 - 0901a068803770bd,DAQ-2013-004525,Big West Oil - Vapor Recovery Units RATA Test Reports,4/9/2013
DAQ-2013-004720 - 0901a0688037cecf,DAQ-2013-004720,Big West Oil Co. - 1st Qtr 2013 SEDR Review letter,5/8/2013
DAQ-2013-004721 - 0901a0688037cf2f,DAQ-2013-004721,Big West Oil Co. - 1st Qtr 2013 SEDR Review memo,5/2/2013
DAQ-2013-005296 - 0901a068803844cd,DAQ-2013-005296,Big West Oil - Tank 25 to be Placed into Distillate Fuel Oil Service,5/16/2013
DAQ-2013-005297 - 0901a068803844ce,DAQ-2013-005297,"Big West Oil - Initial Notification Report - NESHAP for Major Sources: Industrial, Commercial and Institional Boilers and Heaters, 40 CFR 63 Subpart DDDDD",5/21/2013
DAQ-2013-005821 - 0901a0688038c339,DAQ-2013-005821,"Big West Oil, LLC - Salt Lake Refinery - Semiannual QQQ Compliance Letter",6/6/2013
DAQ-2013-006490 - 0901a0688039dd53,DAQ-2013-006490,Big West Oil - Partial Compliance Evaluation #2 of 4 (waste water drains),6/21/2013
DAQ-2013-006491 - 0901a0688039dd54,DAQ-2013-006491,Big West Oil - Partial Compliance Evaluation #3 of 4,6/21/2013
DAQ-2013-006492 - 0901a0688039dd55,DAQ-2013-006492,Big West Oil - Partial Inspection - RA/PST Audit,7/1/2013
DAQ-2013-006647 - 0901a0688039ddcf,DAQ-2013-006647,Big West Oil - Partial Inspection - MSCC RATA Final Report,5/23/2013
DAQ-2013-007074 - 0901a068803a780a,DAQ-2013-007074,Big West Oil Co. - Pretest Protocol Review letter - H2S Relative Accuracy Test,7/22/2013
DAQ-2013-007075 - 0901a068803a780b,DAQ-2013-007075,Big West Oil Co. - Pretest Protocol Review memo & Protocol dated 7/7/2013 - H2S Relative Accuracy Test,7/16/2013
DAQ-2013-007076 - 0901a068803a780c,DAQ-2013-007076,Big West Oil Co. - 2nd Qtr 2013 SEDR Certification letter,7/30/2013
DAQ-2013-007077 - 0901a068803a7875,DAQ-2013-007077,Big West Oil Co. - Semiannual NSPS VOC Monitoring Report,7/15/2013
DAQ-2013-007078 - 0901a068803a7876,DAQ-2013-007078,Big West Oil Co. - 2nd Qtr 2013 VOC Monitoring Report,7/15/2013
DAQ-2013-007638 - 0901a068803ae969,DAQ-2013-007638,Big West Oil Co. - Warning letter,8/15/2013
DAQ-2013-007639 - 0901a068803ae96a,DAQ-2013-007639,Big West Oil Co. - 2nd Qtr 2013 SEDR Review memo,8/7/2013
DAQ-2013-007640 - 0901a068803ae96b,DAQ-2013-007640,Big West Oil Co. - MACT II Semiannual Report - 1/1/2013 to 6/30/2013,7/30/2013
DAQ-2013-008304 - 0901a068803b65d2,DAQ-2013-008304,Big West Oil-Retraction of Warning Letter,8/29/2013
DAQ-2013-008305 - 0901a068803b65d3,DAQ-2013-008305,Big West Oil-VOC Monitoring,1/15/2013
DAQ-2013-008306 - 0901a068803b65d4,DAQ-2013-008306,Big West Oil-Semiannual NSPS VOC Monitoring,1/15/2013
DAQ-2013-008762 - 0901a068803c00b9,DAQ-2013-008762,Big West Oil LLC - Benzene Annual Report,9/11/2013
DAQ-2013-008763 - 0901a068803c00bb,DAQ-2013-008763,Big West Oil LLC - Breakdown Report for the Amine Unit - 8/25/2013,9/5/2013
DAQ-2013-008764 - 0901a068803c00bc,DAQ-2013-008764,Big West Oil LLC - MACT Semiannual Report - 1/16/2013 to 7/15/2013,9/13/2013
DAQ-2013-008765 - 0901a068803c00bd,DAQ-2013-008765,Big West Oil LLC - Sulfur Recovery Unit Shutdown/Turnaround Schedule,9/13/2013
DAQ-2013-008766 - 0901a068803c00be,DAQ-2013-008766,Big West Oil LLC - Full Compliance Evaluation #4 of 4,9/3/2013
DAQ-2013-008767 - 0901a068803c00bf,DAQ-2013-008767,Big West Oil LLC - Pretest Protocol for Oxygen and Sulfur Dioxide Review letter,9/18/2013
DAQ-2013-008768 - 0901a068803c00c0,DAQ-2013-008768,Big West Oil LLC - Pretest Protocol for Oxygen and Sulfur Dioxide Review memo & Protocol dated 8/21/2013,8/26/2013
DAQ-2013-008775 - 0901a068803bff88,DAQ-2013-008775,Big West Oil Co. - Partial Inspection - RA/PST Audits,9/19/2013
DAQ-2013-008876 - 0901a068803c00b8,DAQ-2013-008876,Big West Oil Co. - RATA Final Report for the Amine Unit H2S Monitor,9/5/2013
DAQ-2013-009046 - 0901a068803c36ba,DAQ-2013-009046,Big West Oil - MSCC Unit - Breakdown Report - 9/13/2013,9/23/2013
DAQ-2013-009864 - 0901a068803d27d6,DAQ-2013-009864,Big West Oil - 3rd Qtr 2013 VOC Monitoring Report,10/15/2013
DAQ-2013-009865 - 0901a068803d27d7,DAQ-2013-009865,Big West Oil - Breakdown Report for the MSCC Unit - 9/23/2013,10/3/2013
DAQ-2013-009866 - 0901a068803d27d8,DAQ-2013-009866,Big West Oil - Breakdown Report for the Amine Unit - 10/1/2013,10/15/2013
DAQ-2013-009867 - 0901a068803d27d9,DAQ-2013-009867,Big West Oil - Breakdown Report for Tank 51 - 9/27/2013,10/15/2013
DAQ-2013-010155 - 0901a068803d7f79,DAQ-2013-010155,Big West Oil Co. - 3rd Qtr 2013 SEDR Review letter,11/19/2013
DAQ-2013-010156 - 0901a068803d7f7a,DAQ-2013-010156,Big West Oil Co. - 3rd Qtr 2013 SEDR Review memo,11/12/2013
DAQ-2013-010674 - 0901a068803e8646,DAQ-2013-010674,Big West Oil - MACT Subpart CC Periodic Heat Exchange Systems Report & Periodic Compliance Report - 10/28/2012 to 9/28/2013,11/22/2013
DAQ-2013-011127 - 0901a068803f0a49,DAQ-2013-011127,Big West Oil LLC - QQQ Semiannual Report - 4/16/2013 to 10/15/2013,12/12/2013
DAQ-2013-011128 - 0901a068803f0a4a,DAQ-2013-011128,Big West Oil LLC - Breakdown Report for Tank 54 - 12/4/2013,12/18/2013
DAQ-2013-011290 - 0901a068803f48b3,DAQ-2013-011290,Big West Oil LLC - Benzene Waste Operations NESHAP - 2012 Total Annual Benzene Review and Verification Report,12/24/2013
DAQ-2013-011311 - 0901a068803f60d8,DAQ-2013-011311,Big West Oil LLC - Breakdown Report for the Amine Unit - 12/6/2013,12/20/2013
DAQ-2013-011312 - 0901a068803f60da,DAQ-2013-011312,Big West Oil LLC - SRU Efficiency Calcuations,12/23/2013
DAQ-2014-001245 - 0901a068803f60dc,DAQ-2014-001245,"Big West Oil LLC - Partial Inspection, RA/PST Audits",1/10/2014
DAQ-2014-001281 - 0901a068803f610e,DAQ-2014-001281,Big West Oil LLC - SRU SO2 and O2 RATA Final Report,1/7/2014
DAQ-2014-002197 - 0901a06880403357,DAQ-2014-002197,Big West Oil - 4th Qtr 2013 SEDR Review letter,2/6/2014
DAQ-2014-002198 - 0901a06880403358,DAQ-2014-002198,Big West Oil - 4th Qtr 2013 SEDR Review memo,2/4/2014
DAQ-2014-002199 - 0901a06880403359,DAQ-2014-002199,Big West Oil - 4th Qtr 2013 VOC Monitoring Report,1/15/2014
DAQ-2014-002200 - 0901a0688040335a,DAQ-2014-002200,Big West Oil - Semiannual NSPS VOC Monitoring Report,1/15/2014
DAQ-2014-002201 - 0901a0688040335b,DAQ-2014-002201,Big West Oil - Breakdown Report for Tank 54 - 12/4/2013,1/15/2014
DAQ-2014-002202 - 0901a0688040335c,DAQ-2014-002202,"Big West Oil - Initial Notification Report - 40 CFR Part 63, Subpart DDDDD",1/30/2014
DAQ-2014-002203 - 0901a0688040335d,DAQ-2014-002203,Big West Oil - MACT II Semiannual Report - 7/1/2013 to 12/31/2013,1/31/2014
DAQ-2014-002902 - 0901a06880407c29,DAQ-2014-002902,Big West Oil LLC - Breakdown Report for Tank 54 - 12/4/2013,2/14/2014
DAQ-2014-002903 - 0901a06880407c2a,DAQ-2014-002903,Big West Oil LLC - Quarterly CEM Excess Emissions Report Certification,1/30/2014
DAQ-2014-003209 - 0901a0688040b302,DAQ-2014-003209,Big West Oil LLC - Notification of Tank 42 Returning to Service,2/19/2014
DAQ-2014-003211 - 0901a0688040b303,DAQ-2014-003211,Big West Oil LLC - Pretest Protocol for VOC Relative Accuracy Test - Review letter,2/21/2014
DAQ-2014-003212 - 0901a0688040b304,DAQ-2014-003212,Big West Oil LLC - Pretest Protocol for VOC Relative Accuracy Test - Review memo & Protocol dated 2/14/2014,2/19/2014
DAQ-2014-004149 - 0901a06880415bd6,DAQ-2014-004149,Partial Compliance Evaluation #1 of 4 (storage tanks),3/4/2014
DAQ-2014-004797 - 0901a0688041d732,DAQ-2014-004797,MACT Semiannual Report - 7/16/2013 to 1/15/2014,3/13/2014
DAQ-2014-004970 - 0901a06880420339,DAQ-2014-004970,Breakdown Report for the MSCC Unit - 3/17/2014,3/28/2014
DAQ-2014-005812 - 0901a0688042eee9,DAQ-2014-005812,Relative Accuracy Test Pretest Protocol Review letter,4/23/2014
DAQ-2014-005813 - 0901a0688042ef1a,DAQ-2014-005813,Relative Accuracy Test Pretest Protocol Review memo & Protocol dated 4/16/2014,4/18/2014
DAQ-2014-005814 - 0901a0688042ef19,DAQ-2014-005814,1st Qtr 2014 VOC Monitoring Report,4/15/2014
DAQ-2014-006108 - 0901a06880438bd0,DAQ-2014-006108,1st Qtr 2014 Quarterly CEM Excess Emissions Report Certification,4/30/2014
DAQ-2014-006490 - 0901a06880438fcd,DAQ-2014-006490,Notice of Completion of Supplemental Environmental Project,5/5/2014
DAQ-2014-006491 - 0901a06880439213,DAQ-2014-006491,1st Qtr 2014 State Electronic Data Report - Review letter,5/7/2014
DAQ-2014-006492 - 0901a06880439214,DAQ-2014-006492,1st Qtr 2014 State Electronic Data Report - Review memo,5/2/2014
DAQ-2014-006524 - 0901a0688043926e,DAQ-2014-006524,Sulfur Recovery Unit Optimization Study & Sulfur Recovery Unit Preventive Maintenance and Operations Plan,5/8/2014
DAQ-2014-007719 - 0901a0688044368c,DAQ-2014-007719,Notification of the Initial Fill of Tank 25,5/15/2014
DAQ-2014-007720 - 0901a0688044368d,DAQ-2014-007720,MACT Subpart CC Heat Exchante Systems (HES) - Change in Monitoring Schedule,5/23/2014
DAQ-2014-008189 - 0901a06880449ab9,DAQ-2014-008189,Partial Inspection - Relative Accuracy/Performance Specification Test Audit,6/12/2014
DAQ-2014-008189_1 - 0901a06880449aba,DAQ-2014-008189_1,Relative Accuracy Test Audit Report,3/25/2014
DAQ-2014-008603 - 0901a06880454c2a,DAQ-2014-008603,QQQ Semiannual Report - 10/16/2013 to 4/15//2014,6/18/2014
DAQ-2014-009564 - 0901a06880471157,DAQ-2014-009564,Breakdown Report - 6/16/2014,6/25/2014
DAQ-2014-009729 - 0901a068804743f8,DAQ-2014-009729,Hydrogen Sulfide Relative Accuracy Test - Pretest Protocol Review letter,7/28/2014
DAQ-2014-009730 - 0901a068804743f9,DAQ-2014-009730,Hydrogen Sulfide Relative Accuracy Test - Pretest Protocol Review memo & Protocol dated 7/10/2014,7/15/2014
DAQ-2014-009731 - 0901a068804743fa,DAQ-2014-009731,2nd Qtr 2014 VOC Monitoring Report,7/15/2014
DAQ-2014-009732 - 0901a06880474415,DAQ-2014-009732,Semiannual NSPS VOC Monitoring Report,7/15/2014
DAQ-2014-009733 - 0901a06880474416,DAQ-2014-009733,Breakdown Report for the Amine Unit - 7/5/2014,7/17/2014
DAQ-2014-010888 - 0901a0688047f3de,DAQ-2014-010888,Consent Decree Semiannual Report - July 2014,7/29/2014
DAQ-2014-010889 - 0901a0688047f3df,DAQ-2014-010889,MACT II Semiannual Report - 1/1/2014 to 6/30/2014,7/29/2014
DAQ-2014-011263 - 0901a0688048331f,DAQ-2014-011263,2nd Qtr 2014 State Electronic Data Report - Review letter,8/28/2014
DAQ-2014-011264 - 0901a06880483320,DAQ-2014-011264,2nd Qtr 2014 State Electronic Data Report - Review memo,8/25/2014
DAQ-2014-011441 - 0901a068804865b2,DAQ-2014-011441,2nd Qtr 2014 State Electronic Date Report - Review letter,9/4/2014
DAQ-2014-011442 - 0901a068804865b3,DAQ-2014-011442,2nd Qtr 2014 State Electronic Date Report - Review memo,8/27/2014
DAQ-2014-012429 - 0901a06880495eb4,DAQ-2014-012429,Equipment Installation Status - Proposed tanks 26 and 95,8/21/2014
DAQ-2014-012430 - 0901a06880495eb5,DAQ-2014-012430,MACT Semiannual Report - 1/16/2014 to 7/15/2014,9/15/2014
DAQ-2014-012431 - 0901a06880495eb6,DAQ-2014-012431,Notification of External Floating Roof Tank Inspections,9/15/2014
DAQ-2014-012432 - 0901a06880495eb7,DAQ-2014-012432,2013 Total Annual Benzene (TAB) Report,9/8/2014
DAQ-2014-012433 - 0901a06880495ed4,DAQ-2014-012433,Consent Decree - Notification of LDAR Audit,9/10/2014
DAQ-2014-013346 - 0901a068804a25f5,DAQ-2014-013346,Sulfur Recovery Unit Shutdown/Turnaround Schedule,10/2/2014
DAQ-2014-013347 - 0901a068804a25f4,DAQ-2014-013347,Full Compliance Evaluation #4 of 4,10/7/2014
DAQ-2014-013348 - 0901a068804a25f3,DAQ-2014-013348,Postponement of RATA for Amine Unit H2S Fuel Gas Monitor,9/23/2014
DAQ-2014-014758 - 0901a068804b75ba,DAQ-2014-014758,Full Compliance Evaluation #3 of 4 (VOC emissions and leaks),10/20/2014
DAQ-2014-014759 - 0901a068804b7555,DAQ-2014-014759,3rd Qtr 2014 State Electronic Data Report - Review letter,11/6/2014
DAQ-2014-014760 - 0901a068804b7557,DAQ-2014-014760,3rd Qtr 2014 State Electronic Data Report - Review memo,11/3/2014
DAQ-2014-014761 - 0901a068804b7552,DAQ-2014-014761,Pretest Protocol for Oxygen and Sulfur Dioxide Relative Accuracy Test - Review letter,11/3/2014
DAQ-2014-014762 - 0901a068804b7556,DAQ-2014-014762,Pretest Protocol for Oxygen and Sulfur Dioxide Relative Accuracy Test - Review memo & Protocol dated 10/24/2014,10/29/2014
DAQ-2014-016135 - 0901a068804c5532,DAQ-2014-016135,Amine Unit - Breakdown Report - 6/16/2014,6/16/2014
DAQ-2014-016267 - 0901a068804c85f3,DAQ-2014-016267,MSCC - Partial Inspection - Relative Accuracy/Performance Test Audit,12/8/2014
DAQ-2014-016267_1 - 0901a068804c85f7,DAQ-2014-016267_1,MSCC - RATA Report,6/18/2014
DAQ-2014-017223 - 0901a068804dacf5,DAQ-2014-017223,Partial Inspection - Relative Accuracy/Performance Specification Test Audit dated 12/3/2014,12/22/2014
DAQ-2014-017223_1 - 0901a068804dacf6,DAQ-2014-017223_1,RATA Report,12/3/2014
DAQ-2014-017225 - 0901a068804dad0a,DAQ-2014-017225,Partial Inspection - Relative Accuracy/Performance Specification Test Audit dated 12/18/2014,12/30/2014
DAQ-2014-017225_1 - 0901a068804dad0b,DAQ-2014-017225_1,RATA Report,12/18/2014
DAQ-2014-017227 - 0901a068804dad0c,DAQ-2014-017227,SRU Efficiency Calculations,12/11/2014
DAQ-2014-017228 - 0901a068804dad0d,DAQ-2014-017228,QQQ Semiannual Report - 4/16/2014 to 10/15/2014,12/11/2014
DAQ-2015-002267 - 0901a06880504d55,DAQ-2015-002267,4th Qtr 2014 State Electronic Data Report - review letter,2/10/2015
DAQ-2015-002268 - 0901a06880504d56,DAQ-2015-002268,4th Qtr 2014 State Electronic Data Report - review memo,1/30/2015
DAQ-2015-002269 - 0901a06880504d57,DAQ-2015-002269,"MACT II Semiannual Report - July 1 to December 31, 2014",1/28/2015
DAQ-2015-002270 - 0901a06880504d5f,DAQ-2015-002270,Consent Decree - Semiannual Report with Attchments I-IV - 7/1/2014 through 12/31/2014,1/28/2015
DAQ-2015-002271 - 0901a06880504d60,DAQ-2015-002271,4th Qtr 2014 VOC Monitoring Report,1/21/2015
DAQ-2015-002287 - 0901a06880504df4,DAQ-2015-002287,Request for extension to submit reports,1/14/2015
DAQ-2015-002288 - 0901a06880504e11,DAQ-2015-002288,Semiannual NSPS VOC Monitoring Report - 2nd Half of 2014,1/21/2015
DAQ-2015-003720 - 0901a0688051b911,DAQ-2015-003720,Pretest Protocol for Total Volatile Organic Compounds (TVOC) Relative Accuracy Test - Review letter,3/10/2015
DAQ-2015-003721 - 0901a0688051b912,DAQ-2015-003721,Pretest Protocol for Total Volatile Organic Compounds (TVOC) Relative Accuracy Test - Review memo & Protocol dated 2/10/2015,2/26/2015
DAQ-2015-003722 - 0901a0688051b90f,DAQ-2015-003722,Pretest Protocol for Relative Accuracy Test - Review letter,4/7/2015
DAQ-2015-003723 - 0901a0688051b910,DAQ-2015-003723,Pretest Protocol for Relative Accuracy Test - Review memo & Protocol dated 3/19/2015,3/26/2015
DAQ-2015-003724 - 0901a0688051b90e,DAQ-2015-003724,Planned Turnarounds for 2015,2/16/2015
DAQ-2015-003725 - 0901a0688051b8f8,DAQ-2015-003725,MACT Semiannual Report - 7/16/2014 to 1/15/2015,3/4/2015
DAQ-2015-004987 - 0901a0688052c816,DAQ-2015-004987,2014 Total Annual Benzene (TAB) Report,4/6/2015
DAQ-2015-004988 - 0901a0688052c851,DAQ-2015-004988,1st Qtr 2015 VOC Monitoring Report,4/15/2015
DAQ-2015-005328 - 0901a06880530ab9,DAQ-2015-005328,1st Qtr 2015 State Electronic Data Report - Review letter,5/18/2015
DAQ-2015-005329 - 0901a06880530aba,DAQ-2015-005329,1st Qtr 2015 State Electronic Data Report - Review memo,5/6/2015
DAQ-2015-006618 - 0901a0688053ef7a,DAQ-2015-006618,QQQ Semiannual Report - 10/16/2014 to 4/15/2015,6/11/2015
DAQ-2015-006619 - 0901a0688053ef7b,DAQ-2015-006619,Partial Compliance Evaluation #1 of 4 (storage tanks),5/15/2015
DAQ-2015-007770 - 0901a0688055336b,DAQ-2015-007770,2nd Qtr 2015 State Electronic Data Report - Certification letter,7/29/2015
DAQ-2015-007771 - 0901a0688055323f,DAQ-2015-007771,Consent Decree - Semiannual Report - 1/1/2015 through 6/30/2015,7/30/2015
DAQ-2015-007772 - 0901a0688055323c,DAQ-2015-007772,MACT II Semiannual Report - 1/1/2015 through 6/30/2015,7/29/2015
DAQ-2015-007773 - 0901a0688055323b,DAQ-2015-007773,2nd Qtr 2015 VOC Monitoring Report,7/15/2015
DAQ-2015-009461 - 0901a06880576a2d,DAQ-2015-009461,2nd Qtr 2015 State Electronic Data Report - Review letter,8/26/2015
DAQ-2015-009462 - 0901a06880576a54,DAQ-2015-009462,2nd Qtr 2015 State Electronic Data Report - Review memo,8/19/2015
DAQ-2015-010026 - 0901a0688057c513,DAQ-2015-010026,Hydrogen Sulfide Relative Accuracy Test - Pretest Protocol Review letter,9/16/2015
DAQ-2015-010027 - 0901a0688057c515,DAQ-2015-010027,Hydrogen Sulfide Relative Accuracy Test - Pretest Protocol Review memo & Protocol dated 9/3/2015,9/11/2015
DAQ-2015-010263 - 0901a06880580f75,DAQ-2015-010263,MACT Semiannual Report - 1/16/2015 to 7/15/2015,9/15/2015
DAQ-2015-010265 - 0901a06880580f76,DAQ-2015-010265,"Partial Compliance Evaluation #2 of 4 (wastewater streams, sumps, separators)",9/18/2015
DAQ-2015-010969 - 0901a0688058864f,DAQ-2015-010969,Equipment Installation Status,9/28/2015
DAQ-2015-010970 - 0901a06880588650,DAQ-2015-010970,Partial Compliance Evaluation #3 of 4,9/23/2015
DAQ-2015-010971 - 0901a0688058864e,DAQ-2015-010971,Full Compliance Evaluation #4 of 4,9/30/2015
DAQ-2015-011907 - 0901a06880599069,DAQ-2015-011907,3rd Qtr 2015 State Electronic Data Report - Review letter,11/5/2015
DAQ-2015-011908 - 0901a0688059907c,DAQ-2015-011908,3rd Qtr 2015 State Electronic Data Report - Review memo,11/5/2015
DAQ-2015-011909 - 0901a06880599079,DAQ-2015-011909,3rd Qtr 2015 VOC Monitoring Report,10/15/2015
DAQ-2015-013433 - 0901a068805d7fa5,DAQ-2015-013433,QQQ Semiannual Report - 4/16/2015 to 10/15/2015,12/14/2015
DAQ-2015-013434 - 0901a068805d7fa6,DAQ-2015-013434,Equipment Installation Status - Flue Gas Filter,11/9/2015
DAQ-2015-013435 - 0901a068805d7fa3,DAQ-2015-013435,Flare Management Plan,11/9/2015
DAQ-2015-013436 - 0901a068805d7f6d,DAQ-2015-013436,MSCC Regenerator Vent - RATA Pretest Protocol Review letter,11/5/2015
DAQ-2015-013437 - 0901a068805d7f6e,DAQ-2015-013437,MSCC Regenerator Vent - RATA Pretest Protocol Review memo & Protocol dated 10/26/2015,11/4/2015
DAQ-2015-013438 - 0901a068805d7f6b,DAQ-2015-013438,Sulfur Recovery Unit (SRU) - RATA Pretest Protocol Review letter,11/9/2015
DAQ-2015-013439 - 0901a068805d7f6c,DAQ-2015-013439,Sulfur Recovery Unit (SRU) - RATA Pretest Protocol Review memo & Protocol dated 10/26/2015,11/5/2015
DAQ-2015-013440 - 0901a068805d7f69,DAQ-2015-013440,"North/South VRU/TGI, MSCC, SRU/TGI, Amine - Partial Inspection RA/PST Audit",11/16/2015
DAQ-2015-013440_1 - 0901a068805d7f6a,DAQ-2015-013440_1,"North/South VRU/TGI, MSCC, SRU/TGI, Amine - RATA Report",11/4/2015
DAQ-2015-013942 - 0901a068805df49e,DAQ-2015-013942,SRU Efficiency Calculations,12/22/2015
DAQ-2016-002551 - 0901a0688060d8d0,DAQ-2016-002551,Notification of Compliance Status - NESHAP 40 CFR 63 Subpart DDDDD,1/27/2016
DAQ-2016-002552 - 0901a0688060d843,DAQ-2016-002552,4th Qtr State Electronic Data Report Certification and Notification of Installation of Pall Filter,1/29/2016
DAQ-2016-002553 - 0901a0688060d826,DAQ-2016-002553,Partial Inspection - Relative Accuracy/Performance Specification Test Audit,1/6/2016
DAQ-2016-002553_1 - 0901a0688060d8d1,DAQ-2016-002553_1,RATA Report,12/22/2015
DAQ-2016-002560 - 0901a0688060d822,DAQ-2016-002560,4th Qtr 2015 State Electronic Data Report - Review letter,2/11/2016
DAQ-2016-002561 - 0901a0688060d825,DAQ-2016-002561,4th Qtr 2015 State Electronic Data Report - Review memo,2/4/2016
DAQ-2016-002562 - 0901a0688060d823,DAQ-2016-002562,"Partial Compliance Evaluation #2 of #4 (wastewater steams, sumps, separators)",2/12/2016
DAQ-2016-002563 - 0901a0688060d806,DAQ-2016-002563,MACT II Semiannual Report - 7/1/2015 to 12/31/2015,1/29/2016
DAQ-2016-002564 - 0901a0688060d824,DAQ-2016-002564,Consent Decree: Semiannual Report - 7/1/2015 to 12/31/2015,1/27/2016
DAQ-2016-002565 - 0901a0688060d803,DAQ-2016-002565,4th Qtr 2015 VOC Monitoring Report,1/14/2016
DAQ-2016-003497 - 0901a06880616dcc,DAQ-2016-003497,Partial Compliance Evaluation #1 of #4,3/1/2016
DAQ-2016-003498 - 0901a06880616dcd,DAQ-2016-003498,Tank 34 - Equipment Installation Status,2/10/2016
DAQ-2016-003499 - 0901a06880616dce,DAQ-2016-003499,Planned Turnarounds for 2016,2/10/2016
DAQ-2016-003500 - 0901a06880616dcf,DAQ-2016-003500,VRU Analyzer - Relative Accuracy Test Audit Pretest Protocol,2/2/2016
DAQ-2016-003501 - 0901a06880616dd6,DAQ-2016-003501,Partial Inspection - Relative Accuracy /Performance Specification Test Audit,2/18/2016
DAQ-2016-003501_1 - 0901a06880616dd7,DAQ-2016-003501_1,MSCC RATA Final Report,2/8/2016
DAQ-2016-004480 - 0901a0688061f003,DAQ-2016-004480,Partial Inspection - Relative Accuracy/Performance Specification Test Audit,3/28/2016
DAQ-2016-004480_1 - 0901a0688061f3e4,DAQ-2016-004480_1,Vapor Recovery Units RATA Test Reports,3/11/2016
DAQ-2016-004482 - 0901a0688061f3c2,DAQ-2016-004482,Equipment Installation Status - Proposed Tank 58,3/28/2016
DAQ-2016-004483 - 0901a0688061f3c4,DAQ-2016-004483,MACT Semiannual Report - 7/16/2015 to 1/15/2016,3/14/2016
DAQ-2016-005371 - 0901a0688062ca31,DAQ-2016-005371,2015 Total Annual Benzene (TAB) Report,4/6/2016
DAQ-2016-005372 - 0901a0688062ca2f,DAQ-2016-005372,Notification of Tank 4 Returning to Service,4/8/2016
DAQ-2016-005912 - 0901a0688062efdc,DAQ-2016-005912,1st Qtr 2016 State Electronic Data Report - Review letter,5/10/2016
DAQ-2016-005913 - 0901a0688062efdd,DAQ-2016-005913,1st Qtr 2016 State Electronic Data Report - Review memo,4/29/2016
DAQ-2016-005920 - 0901a0688062f039,DAQ-2016-005920,1st Qtr 2016 LDAR VOC Monitoring report,4/14/2016
DAQ-2016-007495 - 0901a0688063fa31,DAQ-2016-007495,Full Compliance Evaluation #4 of 4 (VOC),6/6/2016
DAQ-2016-007496 - 0901a0688063fa32,DAQ-2016-007496,Approval of Request for Compliance Date Extension,5/13/2016
DAQ-2016-007496_1 - 0901a0688063fa33,DAQ-2016-007496_1,Request for Compliance Date Extension,4/28/2016
DAQ-2016-007498 - 0901a0688063fa34,DAQ-2016-007498,Full Compliance Evaluation #3 of 4 (refinery),5/16/2016
