file,application_number,plant_name,empty_major_sections,unmapped_blocks,unmapped_chars
2026-31180-South_County_Regional_Wastewater_Authority__fid1381_nsr_31180_eval_031326_pdf__application_31180__eval_01.json,31180,South County Regional Wastewater Authority,PSD_applicability,3,2545
2026-707247-AMAZON_DATA_SERVICES_INC__fid25045_nsr_31312_707247_eval_022026_pdf__application_707247__eval_01.json,707247,"AMAZON DATA SERVICES, INC",PSD_applicability; CEQA; Statement_of_Compliance; permit_conditions,3,12760
2026-708208-Phillips_66_Company__fid203581_nsr_708208_eval_1626_pdf__application_708208__eval_01.json,708208,Phillips 66 Company,,0,0
2026-717028-West_County_Wastewater_District__fid1271_nsr_717028_eval_02426_pdf__application_717028__eval_01.json,717028,West County Wastewater District,,2,639
2026-719245-IQHQ_SPUR_PH_1__fid202864_nsr_719245_eval_021926_pdf__application_719245__eval_01.json,719245,IQHQ – SPUR PH 1,,1,551
2026-721059-E_P_Yamane__fid203843_nsr_721059_eval_020226_pdf__application_721059__eval_01.json,721059,E&P Yamane,,1,161
2026-724304-Healthpeak_Properties_Inc_c_o_CBRE__fid23190_nsr_724304_eval_012726_pdf__application_724304__eval_01.json,724304,"Healthpeak Properties, Inc. c/o CBRE",,2,826
2026-724878-East_Bay_Regional_Park_District__fid201419_nsr_724878_eval_020926_pdf__application_724878__eval_01.json,724878,East Bay Regional Park District,,2,1283
2026-728881-BP_Arco_AM_PM__fid203955_nsr_728881_eval_012926_pdf__application_728881__eval_01.json,728881,BP Arco AM/PM,PSD_applicability,1,175
2026-730955-Zippy_Shell_San_Jose__fid204200_nsr_730955_eval_031126_pdf__application_730955__eval_01.json,730955,Zippy Shell San Jose,,18,19817
2026-733923-Target_Store_T0324__fid203223_nsr_733923_eval_021826_pdf__application_733923__eval_01.json,733923,Target Store – T0324,,1,505
2026-736442-University_of_California_Berkeley__fid12293_nsr_736442_eval_022726_pdf__application_736442__eval_01.json,736442,"University of California, Berkeley",Statement_of_Compliance,1,667
2026-736904-California_American_Water_Facility_20567_AN_736904__fid20567_nsr_736904_eval_022026_pdf__application_736904__eval_01.json,736904,"California American Water , Facility 20567 AN 736904",,0,0
2026-736978-Station_Avenue_Self_Storage__fid204066_nsr_736978_eval_012326_pdf__application_736978__eval_01.json,736978,Station Avenue Self Storage,,3,774
2026-739194-O_L_Auto_Body_Dublin__fid204093_nsr_739194_eval_020526_pdf__application_739194__eval_01.json,739194,O & L Auto Body Dublin,BACT; PSD_applicability; CEQA; Statement_of_Compliance; permit_conditions,0,0
