file,application_number,plant_name,empty_major_sections,unmapped_blocks,unmapped_chars
2024-30009-PLANT_NUMBER_208__fid208_nsr_30009_eval_092724_pdf__application_30009__eval_01.json,30009,PLANT NUMBER 208,cumulative_increase; BACT; PSD_applicability; public_notification; recommendation,10,42371
2024-30200-San_Francisco_South_East_Treatment_Plant__fid568_nsr_30200_eval_050224_pdf__application_30200__eval_01.json,30200,San Francisco South East Treatment Plant,BACT; PSD_applicability,17,25965
2024-31081-1515_California_Street__fid24955_nsr_31081_eval_030124_pdf__application_31081__eval_01.json,31081,1515 California Street,public_notification,0,0
2024-31506-and_a_Permit_to_Operate_for_the_following_equipment__fid581_nsr_31506_eval_031524_pdf__application_31506__eval_01.json,31506,and a Permit to Operate for the following equipment:,BACT; CEQA,58,25496
2024-31608-Plant_24726_Site_A0011_Martinez_Refining_Company_LLC__fid24726_nsr_31608_eval_081424_pdf__application_31608__eval_01.json,31608,Plant 24726 (Site A0011): Martinez Refining Company LLC,,2,303
2024-31934-24570_Clawiter_Road_Hayward_California_94545__fid25211_nsr_31934_eval_012524_pdf__application_31934__eval_01.json,31934,"24570 Clawiter Road , Hayward, California 94545",cumulative_increase,1,315
2024-32022-South_San_Francisco_San_Bruno_Water_Quality_Plant__fid5876_nsr_32022_eval_042624_pdf__application_32022__eval_01.json,32022,South San Francisco -San Bruno Water Quality Plant,,4,4865
2024-32077-WellTest_Inc__fid19967_nsr_32077_eval_010524_pdf__application_32077__eval_01.json,32077,"WellTest, Inc.",,0,0
2024-32158-City_of_Fairfield__fid3719_nsr_32158_eval_032924_pdf__application_32158__eval_01.json,32158,City of Fairfield,recommendation,1,759
2024-32170-Corteva_Agriscience_Pittsburg_Operations__fid24380_nsr_32170_eval_011924_pdf__application_32170__eval_01.json,32170,Corteva Agriscience – Pittsburg Operations,,1,1129
2024-32234-Chevron_Products_Company__fid10_nsr_32234_eval_122024_pdf__application_32234__eval_01.json,32234,Chevron Products Company,,1,158
2024-669659-Verizon_Wireless_Milpitas__fid202860_nsr_669659_eval_051024_pdf__application_669659__eval_01.json,669659,Verizon Wireless - Milpitas,,1,1123
2024-677348-Audentes_Therapeutics_Inc__fid23401_nsr_677348_eval_022224_pdf__application_677348__eval_01.json,677348,"Audentes Therapeutics, Inc.",,0,0
2024-678778-Elco_Yards__fid203117_nsr_678778_eval_020624_pdf__application_678778__eval_01.json,678778,Elco Yards,,1,1371
2024-679342-National_Petroleum_Sunnyvale__fid111956_nsr_679342_eval_030124_pdf__application_679342__eval_01.json,679342,National Petroleum Sunnyvale,PSD_applicability,1,194
2024-679354-CitizenM_Menlo_Park_Hotel__fid203138_nsr_679354_eval_030824_pdf__application_679354__eval_01.json,679354,CitizenM Menlo Park Hotel,,1,1136
2024-679357-SF71099M_SF71099M__fid203139_nsr_679357_eval_011724_pdf__application_679357__eval_01.json,679357,SF71099M -SF71099M,,1,1139
2024-679484-Amazon_com_Services_LLC_DSF8__fid203143_nsr_679484_eval_013024_pdf__application_679484__eval_01.json,679484,Amazon.com Services LLC – DSF8,,1,613
2024-680824-Consulate_General_of_the_Federal_Republic_of_Germany__fid203163_nsr_680824_eval_011924_pdf__application_680824__eval_01.json,680824,Consulate General of the Federal Republic of Germany,CEQA; permit_conditions,1,691
2024-681022-Bryant_Property_LLC__fid203169_nsr_681022_eval_050224_pdf__application_681022__eval_01.json,681022,Bryant Property LLC,,1,1125
2024-681087-Presidio_ASC_Washers__fid20983_nsr_681087_eval_013024_pdf__application_681087__eval_01.json,681087,Presidio ASC Washers,cumulative_increase; PSD_applicability,0,0
2024-681229-T_Mobile_West_LLC_BA00383A_SF383_HWY_80_RT_780_VALLEJO_CA__fid203117_nsr_681229_eval_031424_pdf__application_681229__eval_01.json,681229,"T-Mobile West LLC (BA00383A - SF383 HWY. 80 & RT. 780 - VALLEJO, CA )",,0,0
2024-682340-The_Elms__fid203190_nsr_682340_and_684800_eval_013124_pdf__application_682340__eval_01.json,682340,The Elms,,0,0
2024-682764-Breakthru_Beverage_California_LLC_dba_Wine_Warehouse__fid203208_nsr_682764_eval_092624_pdf__application_682764__eval_01.json,682764,Breakthru Beverage California LLC dba Wine Warehouse,,1,1139
2024-684078-Market_and_Noe_Center_LP__fid203229_nsr_684078_eval_050824_pdf__application_684078__eval_01.json,684078,Market and Noe Center LP,,0,0
2024-684115-Fairfield_Library__fid202793_nsr_684115_eval_011724_pdf__application_684115__eval_01.json,684115,Fairfield Library,,1,968
2024-684118-Solano_County_Vallejo_Campus_Area__fid14320_nsr_684118_eval_053124_pdf__application_684118__eval_01.json,684118,"Solano County, Vallejo Campus Area",BACT; PSD_applicability; CEQA,14,17317
2024-684191-Logisticenter_Fairfield__fid202506_nsr_684191_eval_022124_pdf__application_684191__eval_01.json,684191,Logisticenter Fairfield,,1,1133
2024-684506-Pimentel_Place__fid203237_nsr_684506_eval_031424_pdf__application_684506__eval_01.json,684506,Pimentel Place,,1,1226
2024-684636-Beck_Campus__fid202811_nsr_684636_eval_011224_pdf__application_684636__eval_01.json,684636,Beck Campus,,1,1209
2024-684673-Supermicro_Computer_Inc__fid203245_nsr_684673_eval_051724_pdf__application_684673__eval_01.json,684673,"Supermicro Computer, Inc.",PSD_applicability; CEQA,1,170
2024-685003-Oscar_s_Autobody_Shop__fid203253_nsr_685003_eval_031224_pdf__application_685003__eval_01.json,685003,Oscar's Autobody Shop,PSD_applicability,0,0
2024-685865-San_Ramon_CA_94583__fid14024_nsr_685865_eval_031224_pdf__application_685865__eval_01.json,685865,"San Ramon, CA 94583",BACT; PSD_applicability; CEQA; permit_conditions,11,12608
2024-686073-Concord_CA_94520__fid13871_nsr_686073_eval_030124_pdf__application_686073__eval_01.json,686073,"Concord, CA 94520",PSD_applicability; CEQA; permit_conditions,1,3542
2024-686246-CHANNING_HOUSE__fid425_nsr_686246_eval_020124_pdf__application_686246__eval_01.json,686246,CHANNING HOUSE,cumulative_increase; PSD_applicability; CEQA; permit_conditions,2,4010
2024-686658-Caliber_Collision_Center__fid203292_nsr_686658_eval_041724_pdf__application_686658__eval_01.json,686658,Caliber Collision Center,PSD_applicability,0,0
2024-686859-Ultragenyx_Pharmaceutical_Inc__fid203296_nsr_686859_eval_031424_pdf__application_686859__eval_01.json,686859,Ultragenyx Pharmaceutical Inc.,,1,1018
2024-687021-855_El_Camino_Real_in_the_City_of_Palo_Alto_Santa_Clara_CA__fid203304_nsr_687021_eval_030824_pdf__application_687021__eval_01.json,687021,"855 El Camino Real, in the City of Palo Alto, Santa Clara, CA",PSD_applicability,0,0
2024-687950-Idlewild_Shopping_Center__fid203310_nsr_687950_eval_022824_pdf__application_687950__eval_01.json,687950,Idlewild Shopping Center,,0,0
2024-688052-1510_Webster__fid203314_nsr_688052_eval_080624_pdf__application_688052__eval_01.json,688052,1510 Webster,,0,0
2024-688194-Exelixis_Inc__fid21852_nsr_688194_eval_020724_pdf__application_688194__eval_01.json,688194,"Exelixis, Inc.",,1,1146
2024-688356-Novelle_Senior_Living_Novelle_has_applied_to_obtain_a_n_Authority_to_Construct_AC_and_or_a__fid203322_nsr_688356_eval_032024_pdf__application_688356__eval_01.json,688356,Novelle Senior Living (Novelle) has applied to obtain a n Authority to Construct (AC) and/or a,PSD_applicability; CEQA; Statement_of_Compliance; public_notification; permit_conditions; recommendation,6,2878
2024-688488-Circle_K_10th_Chestnut__fid203327_nsr_688488_eval_060724_pdf__application_688488__eval_01.json,688488,Circle K – 10th & Chestnut,PSD_applicability,1,185
2024-688705-Classic_Collision_Repair_Center__fid203331_nsr_688705_eval_030824_pdf__application_688705__eval_01.json,688705,Classic Collision Repair Center,PSD_applicability,0,0
2024-688819-US_EPA_Hayward__fid203332_nsr_688819_eval_071124_pdf__application_688819__eval_01.json,688819,US EPA - Hayward,,1,1133
2024-689537-1510_Webster__fid203314_nsr_689537_eval_080624_pdf__application_689537__eval_01.json,689537,1510 Webster,,0,0
2024-689539-The_Home_Depot_6677__fid17742_nsr_689539_eval_050924_pdf__application_689539__eval_01.json,689539,The Home Depot #6677,,1,1138
2024-689714-Lettieri_Co_Ltd__fid203336_nsr_689714_eval_042624_pdf__application_689714__eval_01.json,689714,Lettieri & Co. Ltd.,,1,1136
2024-689782-Central_Contra_Costa_Sanitary_District_Maltby_Pump_Station__fid104064_nsr_689782_eval_061824_pdf__application_689782__eval_01.json,689782,Central Contra Costa Sanitary District - Maltby Pump Station,,1,1539
2024-689792-Central_Contra_Costa_Sanitary_District__fid14060_nsr_689792_eval_091924_pdf__application_689792__eval_01.json,689792,Central Contra Costa Sanitary District,,1,1134
2024-689807-Broadway_Plaza__fid203341_nsr_689807_eval_082824_pdf__application_689807__eval_01.json,689807,Broadway Plaza,,1,514
2024-689822-Chick_fil_A__fid203342_nsr_689822_eval_011224_pdf__application_689822__eval_01.json,689822,Chick -fil-A,PSD_applicability,1,164
2024-689839-Oakley_Recreation_Center__fid203344_nsr_689839_eval_032124_pdf__application_689839__eval_01.json,689839,Oakley Recreation Center,,1,1136
2024-690408-2275_Bayshore__fid203360_nsr_690408_eval_111424_pdf__application_690408__eval_01.json,690408,2275 Bayshore,,0,0
2024-690409-City_of_Richmond_WPC_Ferry_Point_Lift_Station__fid22744_nsr_690409_eval_042424_pdf__application_690409__eval_01.json,690409,City of Richmond WPC (Ferry Point Lift Station),,1,101
2024-691776-Fidelity_Information_Services_LLC__fid203365_nsr_691776_eval_071024_pdf__application_691776__eval_01.json,691776,"Fidelity Information Services, LLC",,1,1142
2024-691867-City_of_Pleasanton_Service_Center__fid108344_nsr_691867_eval_100424_pdf__application_691867__eval_01.json,691867,City of Pleasanton Service Center,,1,1138
2024-691924-City_of_Saratoga_Corp_Yard_Joan_Pisani_Community_Center__fid106779_nsr_691924_eval_031324_pdf__application_691924__eval_01.json,691924,City of Saratoga Corp Yard / Joan Pisani Community Center,PSD_applicability; CEQA,1,218
2024-691943-Contra_Costa_County_Buchanan_Field_Airport__fid14145_nsr_691943_eval_102424_pdf__application_691943__eval_01.json,691943,Contra Costa County -Buchanan Field Airport,,1,1555
2024-692339-Super_Gas_Mart__fid111979_nsr_692339_eval_011124_pdf__application_692339__eval_01.json,692339,Super Gas & Mart,PSD_applicability,1,168
2024-692644-Alameda_County_G_eneral_Servies_Agency__fid13908_nsr_692644_eval_080224_pdf__application_692644__eval_01.json,692644,Alameda County G eneral Servies Agency,BACT; PSD_applicability; CEQA,1,169
2024-694612-Phoenix_801_Pine_LP__fid203405_nsr_694612_eval_080624_pdf__application_694612__eval_01.json,694612,"Phoenix 801 Pine, LP",,1,1135
2024-694744-1776_Laurel_St_San_Carlos__fid203393_nsr_694744_eval_040224_pdf__application_694744__eval_01.json,694744,"1776 Laurel St., San Carlos",public_notification,0,0
2024-694869-San_Francisco_CA_94_124__fid16319_nsr_694869_eval_101824_pdf__application_694869__eval_01.json,694869,"San Francisco , CA 94 124",BACT; PSD_applicability; CEQA,12,14456
2024-695893-Bascom_Station__fid203418_nsr_695893_eval_100424_pdf__application_695893__eval_01.json,695893,Bascom Station,,1,1133
2024-695966-University_of_California_San_Francisco_Peninsula_Outpatient_Center__fid203384_nsr_695966_eval_060724_pdf__application_695966__eval_01.json,695966,University of California San Francisco – Peninsula Outpatient Center,PSD_applicability,2,231
2024-695981-Blue_Oak_Square__fid203419_nsr_695981_eval_050324_pdf__application_695981__eval_01.json,695981,Blue Oak Square,CEQA,10,5738
2024-696063-Courtyard_by_Marriott__fid203422_nsr_696063_eval_041524_pdf__application_696063__eval_01.json,696063,Courtyard by Marriott,,1,1599
2024-696091-Sango_Court__fid203382_nsr_696091_eval_031924_pdf__application_696091__eval_01.json,696091,Sango Court,,1,1138
2024-696353-WRTH__fid203399_nsr_696353_eval_112224_pdf__application_696353__eval_01.json,696353,WRTH,,1,72
2024-696413-Page_1_of_8__fid203428_nsr_696413_eval_051524_pdf__application_696413__eval_01.json,696413,Page 1 of 8,PSD_applicability,7,6856
2024-696554-Sutter_Health_Inc__fid203431_nsr_696554_eval_082724_pdf__application_696554__eval_01.json,696554,Sutter Health Inc.,,1,1097
2024-696718-San_Francisco_Fire_Department_Station_18__fid109805_nsr_696718_eval_112624_pdf__application_696718__eval_01.json,696718,San Francisco Fire Department - Station 18,,1,1132
2024-696847-DW_LSP_5000_Shoreline_LLC__fid203437_nsr_696847_eval_053124_pdf__application_696847__eval_01.json,696847,DW LSP 5000 Shoreline LLC,,2,1037
2024-696975-2001_Fortune_Drive_San_Jose_CA_95_131__fid22974_nsr_696975_eval_112224_pdf__application_696975__eval_01.json,696975,"2001 Fortune Drive, San Jose , CA 95 131",PSD_applicability; CEQA,2,569
2024-698013-Valley_Surgical_Suites__fid203445_nsr_698013_eval_072524_pdf__application_698013__eval_01.json,698013,Valley Surgical Suites,,2,1259
2024-698123-JP_Auto_Body__fid203448_nsr_698123_eval_032024_pdf__application_698123__eval_01.json,698123,JP Auto Body,PSD_applicability,0,0
2024-698526-Peterson_Power_Systems_Inc_Applicant_is_applying_for_a_n_Authority_to_Construct_Permit_to__fid203455_nsr_698526_eval_061224_pdf__application_698526__eval_01.json,698526,"Peterson Power Systems, Inc. (Applicant) is applying for a n Authority to Construct/ Permit to",cumulative_increase; BACT; PSD_applicability; CEQA; Statement_of_Compliance; public_notification; permit_conditions; recommendation,0,0
2024-698604-BRISTOL_MYERS_SQUIBB_PLANT_20897__fid20897_nsr_698604_eval_120524_pdf__application_698604__eval_01.json,698604,"BRISTOL -MYERS SQUIBB , PLANT # 20897",PSD_applicability,1,162
2024-700134-Koch_Carbon_LLC__fid10684_nsr_700134_eval_090524_pdf__application_700134__eval_01.json,700134,"Koch Carbon , LLC",PSD_applicability; CEQA; public_notification; permit_conditions; recommendation,1,345
2024-701949-Vargas_Collision_LLC_dba_A_V_Collision_1__fid203492_nsr_701949_eval_083024_pdf__application_701949__eval_01.json,701949,Vargas Collision LLC dba A.V. Collision #1,PSD_applicability,0,0
2024-702879-Rotten_Robbie_67__fid109105_nsr_702879_eval_052424_pdf__application_702879__eval_01.json,702879,Rotten Robbie #67,PSD_applicability,1,180
2024-703163-APCT_Inc__fid7638_nsr_703163_eval_080624_pdf__application_703163__eval_01.json,703163,"APCT, Inc.",permit_conditions,0,0
2024-704575-BGOGC_2197_2225_Bayshore_Owner_LLC__fid203115_nsr_704575_eval_100824_pdf__application_704575__eval_01.json,704575,BGOGC 2197/ 2225 Bayshore Owner LLC,,1,263
2024-706209-981_Broadway_Sonoma_CA_954_76__fid203555_nsr_706209_eval_101824_pdf__application_706209__eval_01.json,706209,"981 Broadway , Sonoma , CA 954 76",BACT; PSD_applicability; CEQA; public_notification,2,999
2024-706539-Texas_Petroleum_Inc_dba_West_Texas_Gas__fid110544_nsr_706539_eval_081524_pdf__application_706539__eval_01.json,706539,Texas Petroleum Inc. dba West Texas Gas,PSD_applicability,1,194
2024-706878-Visa_USA_Inc__fid16059_nsr_706878_eval_111424_pdf__application_706878__eval_01.json,706878,"Visa USA, Inc.",,1,1132
2024-710255-Facility_I_D_203617__fid203617_nsr_710255_eval_110824_pdf__application_710255__eval_01.json,710255,Facility I D: 203617,,0,0
