file,application_number,plant_name,empty_major_sections,unmapped_blocks,unmapped_chars
2025-704164-SF1952_Pintail_SF71952M__fid203523_nsr_704164_eval_021425_pdf__application_704164__eval_01.json,704164,SF1952 Pintail/SF71952M,,0,0
2025-704470-CA_002_Somo_Village_Resynergi__fid203504_nsr_704470_eval_071825_pdf__application_704470__eval_01.json,704470,CA-002 Somo Village (Resynergi),CEQA,6,20964
2025-704781-United_Airlines_Inc__fid51_nsr_704781_eval_061025_pdf__application_704781__eval_01.json,704781,"United Airlines, Inc",,0,0
2025-704913-Cupertino_Union_School_District_Corporation_Yard__fid203488_nsr_704913_eval_061325_pdf__application_704913__eval_01.json,704913,Cupertino Union School District Corporation Yard,,2,1252
2025-704977-Verizon_Wireless_San_Leandro_South__fid203541_nsr_704977_eval_020725_pdf__application_704977__eval_01.json,704977,Verizon Wireless San Leandro South,,2,1244
2025-707167-Chrysler_Storm_Water_Pump_Station__fid203574_nsr_707167_eval_022825_pdf__application_707167__eval_01.json,707167,Chrysler Storm Water Pump Station,,0,0
2025-708485-217_Park__fid203588_nsr_708485_eval_060325_pdf__application_708485__eval_01.json,708485,217 Park,PSD_applicability,1,152
2025-708540-Summit_Bank__fid203551_nsr_708540_eval_050225_pdf__application_708540__eval_01.json,708540,Summit Bank,,2,813
2025-708554-Snell__fid203594_nsr_708554_eval_031425_pdf__application_708554__eval_01.json,708554,Snell,,2,1213
2025-709161-Sierra_Condos_Jack_London_Square__fid201538_nsr_709161_eval_031925_pdf__application_709161__eval_01.json,709161,Sierra Condos - Jack London Square,,0,0
2025-709214-3700_Enterprise_Avenue_Hayward_California_94_545__fid1009_nsr_709214_eval_101525_pdf__application_709214__eval_01.json,709214,"3700 Enterprise Avenue , Hayward , California 94 545",,0,0
2025-709216-Menlo_Park_Fire_Warehouse__fid203613_nsr_709216_eval_062025_pdf__application_709216__eval_01.json,709216,Menlo Park Fire Warehouse,,0,0
2025-709283-Montezuma_Wetlands_LLC__fid203615_nsr_709283_eval_032525_pdf__application_709283__eval_01.json,709283,"Montezuma Wetlands, LLC",emission_calculations; cumulative_increase; BACT; PSD_applicability; CEQA; Statement_of_Compliance; public_notification; permit_conditions; recommendation,1,180
2025-710315-Kaiser_Permanente_Medical_Center__fid13751_nsr_710315_eval_022125_pdf__application_710315__eval_01.json,710315,Kaiser Permanente Medical Center,,2,1246
2025-710999-Ross_Valley_Sanitary_District__fid203635_nsr_710999_eval_013125_pdf__application_710999__eval_01.json,710999,Ross Valley Sanitary District,,1,982
2025-711087-2118_MILVIA_STREET_BCC_WEST__fid203640_nsr_711087_eval_041725_pdf__application_711087__eval_01.json,711087,2118 MILVIA STREET – BCC WEST,,1,310
2025-711146-Abraham_Lincoln_High_School__fid203642_nsr_711146_eval_052225_pdf__application_711146__eval_01.json,711146,Abraham Lincoln High School,,1,197
2025-711206-San_Jose_Water_Co_3Mile__fid13335_nsr_711206_eval_061225_pdf__application_711206__eval_01.json,711206,San Jose Water Co -3Mile,PSD_applicability; CEQA,0,0
2025-712141-Willow_Pass__fid203624_nsr_712141_eval_061025_pdf__application_712141__eval_01.json,712141,Willow Pass,,2,1252
2025-712172-SMU_City_Center__fid203656_nsr_712172_eval_032625_pdf__application_712172__eval_01.json,712172,SMU City Center,,2,1292
2025-71218-Royal_SSF_LLC__fid203657_nsr_712182_eval_101725_pdf__application_71218__eval_01.json,71218,Royal SSF LLC,BACT; PSD_applicability,0,0
2025-712250-Madrone_Terrace__fid203660_nsr_712250_eval_032725_pdf__application_712250__eval_01.json,712250,Madrone Terrace,,1,1111
2025-712287-400_County_Center_5th_Floor_Redwood_City_CA__fid14877_nsr_712287_eval_041125_pdf__application_712287__eval_01.json,712287,"400 County Center, #5th Floor, Redwood City, CA",,1,734
2025-712326-City_of_Oakland_Public_Works_Agency__fid11431_nsr_712326_eval_071625_pdf__application_712326__eval_01.json,712326,City of Oakland Public Works Agency,,1,15
2025-712408-Ensign_Sonoma_Healthcare_Center__fid20829_nsr_712408_eval_031025_pdf__application_712408__eval_01.json,712408,Ensign Sonoma Healthcare Center,BACT; PSD_applicability,0,0
2025-712469-Facility_I_D_202362__fid202362_nsr_712469_eval_022825_pdf__application_712469__eval_01.json,712469,Facility I D: 202362,cumulative_increase; PSD_applicability,0,0
2025-712852-Beck_Campus__fid202811_nsr_712852_eval_030425_pdf__application_712852__eval_01.json,712852,Beck Campus,,2,1217
2025-712926-Waterway_Marine__fid203675_nsr_712926_eval_041725_pdf__application_712926__eval_01.json,712926,Waterway Marine,,1,147
2025-713075-5195_Fermi_Drive_Warehouse__fid203680_nsr_713075_eval_042225_pdf__application_713075__eval_01.json,713075,5195 Fermi Drive Warehouse,,1,1151
2025-714026-Fox_Television_Stations_Inc__fid22746_nsr_714026_eval_012925_pdf__application_714026__eval_01.json,714026,"Fox Television Stations, Inc",,3,885
2025-714187-Tesoro_Refining_Marketing_Company_LLC__fid14628_fid14629_fid21200_nsr_714187_eval_112025_pdf__application_714187__eval_01.json,714187,Tesoro Refining & Marketing Company LLC,,1,59
2025-714247-Nevin_Plaza__fid203694_nsr_714247_eval_041625_pdf__application_714247__eval_01.json,714247,Nevin Plaza,,1,1139
2025-714846-Airport_Corporate_Cent_re__fid203722_nsr_714846_eval_092325_pdf__application_714846__eval_01.json,714846,Airport Corporate Cent re,,2,1345
2025-715119-Webster_House_Health_Center__fid200361_nsr_715119_eval_053025_pdf__application_715119__eval_01.json,715119,Webster House Health Center,,2,1159
2025-715167-Circle_Pharma__fid203714_nsr_715167_eval_040225_pdf__application_715167__eval_01.json,715167,Circle Pharma,,1,176
2025-716535-California_Fire_Hood_Mountain_Fire_Center__fid203748_nsr_716535_eval_013125_pdf__application_716535__eval_01.json,716535,California Fire Hood Mountain Fire Center,PSD_applicability,1,195
2025-716671-Comcast_Pardee_Headend__fid203741_nsr_716671_eval_122325_pdf__application_716671__eval_01.json,716671,Comcast Pardee Headend,,2,1109
2025-716707-Cellares__fid203743_nsr_716707_eval_071025_pdf__application_716707__eval_01.json,716707,Cellares,,2,1149
2025-716763-SAN_FRANCISCO_POLICE_DEPARTMENT_SURGE_FACILITY__fid203753_nsr_716763_eval_091625_pdf__application_716763__eval_01.json,716763,SAN FRANCISCO POLICE DEPARTMENT SURGE FACILITY,,2,466
2025-716794-BIOMERIEUX__fid203562_nsr_716794_eval_091125_pdf__application_716794__eval_01.json,716794,BIOMERIEUX,,2,400
2025-716902-SAN_MATEO_COUNTY_EVENT_CENTER__fid22852_nsr_716902_eval_082725_pdf__application_716902__eval_01.json,716902,SAN MATEO COUNTY EVENT CENTER,,3,5414
2025-717173-ARE_San_Francisco_No_46_LLC__fid22460_nsr_717173_eval_101525_pdf__application_717173__eval_01.json,717173,"ARE - San Francisco No 46, LLC",,1,951
2025-717199-Healthpeak__fid203763_nsr_717199_eval_080125_pdf__application_717199__eval_01.json,717199,Healthpeak,,0,0
2025-717215-Southline_Phase_1_Building_1__fid202972_nsr_717215_eval_091925_pdf__application_717215__eval_01.json,717215,Southline Phase 1 Building 1,PSD_applicability; CEQA,1,9632
2025-718619-D_STREET_SURGERY_CENTER_LLC__fid203767_nsr_718619_eval_102125_pdf__application_718619__eval_01.json,718619,"D STREET SURGERY CENTER, LLC.",,1,947
2025-718644-RREEF_America_RETI_II_Corp_RRR_RREEF_has_applied_for_an_Authority_to_Construct_for_the_following_source__fid20077_nsr_718644_eval_090425_pdf__application_718644__eval_01.json,718644,"RREEF America RETI II Corp, RRR- (RREEF) has applied for an Authority to Construct for the following source:",cumulative_increase; PSD_applicability; CEQA,9,12538
2025-718830-Meridian_Family_Apartments__fid203776_nsr_718830_eval_120825_pdf__application_718830__eval_01.json,718830,Meridian Family Apartments,,2,1272
2025-718872-ROSENDIN_ELECTRIC_INC__fid202588_nsr_718872_eval_081425_pdf__application_718872__eval_01.json,718872,"ROSENDIN ELECTRIC, INC.",,1,322
2025-719003-West_Bay_Sanitary_District_Willow_Road_Pump_Station__fid21312_nsr_719003_eval_082225_pdf__application_719003__eval_01.json,719003,West Bay Sanitary District - Willow Road Pump Station,,1,1133
2025-719035-Anthro_Energy_Alameda__fid203774_nsr_719035_eval_092625_pdf__application_719035__eval_01.json,719035,Anthro Energy - Alameda,,2,1266
2025-719134-City_of_Foster_City__fid203788_nsr_719134_eval_101025_pdf__application_719134__eval_01.json,719134,City of Foster City,CEQA,1,1143
2025-719165-CEM__fid203785_nsr_719165_eval_092525_pdf__application_719165__eval_01.json,719165,CEM,,1,940
2025-719256-WESTIN_ST_FRANCIS_HOTEL__fid19213_nsr_719256_eval_110425_pdf__application_719256__eval_01.json,719256,WESTIN ST. FRANCIS HOTEL,,2,1061
2025-719282-KAWAHARA_NURSERIRES_INC__fid203799_nsr_719282_eval_090425_pdf__application_719282__eval_01.json,719282,"KAWAHARA NURSERIRES, INC.",,1,309
2025-719296-San_Mateo_Union_High_School_District_SMHS__fid22935_nsr_719296_eval_030725_pdf__application_719296__eval_01.json,719296,San Mateo Union High School District - SMHS,,1,1019
2025-719297-Calistoga_Elementary_School__fid203791_nsr_719297_eval_041625_pdf__application_719297__eval_01.json,719297,Calistoga Elementary School,,2,856
2025-719301-Calistoga_Junior_Senior_High_School__fid203790_nsr_719301_eval_041625_pdf__application_719301__eval_01.json,719301,Calistoga Junior -Senior High School,,1,1195
2025-719314-Nellie_Hannon_Gateway_has_requested_an_Authority_to_Construct_for_the_following_equipment__fid203801_nsr_719314_eval_042525_pdf__application_719314__eval_01.json,719314,Nellie Hannon Gateway has requested an Authority to Construct for the following equipment :,,1,655
2025-719374-HCP_c_o_Britannia_Gateway__fid23928_nsr_719374_eval_032825_pdf__application_719374__eval_01.json,719374,HCP c/o Britannia Gateway,,1,1215
2025-719410-Atoria_s_Baking_Company__fid203807_nsr_719410_eval_032125_pdf__application_719410__eval_01.json,719410,Atoria’s Baking Company,,1,1217
2025-719446-Sutter_Health_Mission_Bernal_Care_Complex__fid203811_nsr_719446_eval_092425_pdf__application_719446__eval_01.json,719446,Sutter Health - Mission Bernal Care Complex,,2,1629
2025-719467-26229_Eden_Landing_Road__fid203806_nsr_719467_eval_022825_pdf__application_719467__eval_01.json,719467,26229 Eden Landing Road,,1,1210
2025-719472-Ravenswood_Family_Health_Center__fid203813_nsr_719472_eval_042425_pdf__application_719472__eval_01.json,719472,Ravenswood Family Health Center,,1,1216
2025-719487-SJFD_Training_Center__fid202382_nsr_719487_eval_090925_pdf__application_719487__eval_01.json,719487,SJFD Training Center,PSD_applicability,1,156
2025-719538-Sutter_Health__fid203816_nsr_719538_eval_082725_pdf__application_719538__eval_01.json,719538,Sutter Health,,2,1267
2025-719551-Petaluma_Valley_Hospital__fid11308_nsr_719551_eval_080525_pdf__application_719551__eval_01.json,719551,Petaluma Valley Hospital,permit_conditions,0,0
2025-720438-234_N_San_Pedro_Rd_San_Rafael_CA__fid203826_nsr_720438_eval_072225_pdf__application_720438__eval_01.json,720438,"234 N. San Pedro Rd. , San Rafael , CA",,1,615
2025-720608-PLANT_NUMBER_20527__fid20527_nsr_720608_eval_062525_pdf__application_720608__eval_01.json,720608,PLANT NUMBER 20527,,3,1469
2025-720694-The_Pittsburg_Owner_LPV_LLC__fid24926_nsr_720694_eval_081325_pdf__application_720694__eval_01.json,720694,"The Pittsburg Owner LPV, LLC",BACT; PSD_applicability; CEQA,1,3986
2025-722413-Mayfair_Apartments__fid203854_nsr_722413_eval_110525_pdf__application_722413__eval_01.json,722413,Mayfair Apartments,,2,813
2025-722493-Portable_Sources_San_Jose_CA_95112__fid19967_nsr_722493_eval_070125_pdf__application_722493__eval_01.json,722493,"Portable Sources, San Jose, CA 95112",,0,0
2025-722501-SOHA_Property_Holdings_LLC__fid203856_nsr_722501_eval_070225_pdf__application_722501__eval_01.json,722501,SOHA Property Holdings LLC,PSD_applicability,1,178
2025-722593-Scotty_s_Market__fid203860_nsr_722593_eval_050925_pdf__application_722593__eval_01.json,722593,Scotty's Market,PSD_applicability; CEQA,1,181
2025-722891-California_Department_of_Technology_Hut_193__fid203871_nsr_722891_eval_091625_pdf__application_722891__eval_01.json,722891,California Department of Technology (Hut 193),PSD_applicability,1,209
2025-723091-Safeway_Fuel_Center_2657__fid203851_nsr_723091_eval_061025_pdf__application_723091__eval_01.json,723091,Safeway Fuel Center #2657,PSD_applicability,1,182
2025-723222-Oakland_CA_94607__fid22884_nsr_723222_eval_072325_pdf__application_723222__eval_01.json,723222,"Oakland, CA 94607",recommendation,9,6189
2025-724013-Silverado_Credit_Union__fid203882_nsr_724013_eval_080125_pdf__application_724013__eval_01.json,724013,Silverado Credit Union,PSD_applicability,1,161
2025-724085-G_C_Auto_Body_Milpitas__fid203885_nsr_724085_eval_050825_pdf__application_724085__eval_01.json,724085,G & C Auto Body – Milpitas,PSD_applicability,0,0
2025-724297-The_Home_Depot_Store_8572__fid15808_nsr_724297_eval_051525_pdf__application_724297__eval_01.json,724297,The Home Depot Store #8572,,0,0
2025-724892-Chevron_Products_Company__fid10_nsr_724892_eval_041125_pdf__application_724892__eval_01.json,724892,Chevron Products Company,,1,159
2025-724934-KSH_Automotive_2__fid203900_nsr_724934_eval_052925_pdf__application_724934__eval_01.json,724934,KSH Automotive 2,PSD_applicability,0,0
2025-727025-Mare_Island_Dry_Dock_LLC__fid22155_nsr_727025_eval_102925_pdf__application_727025__eval_01.json,727025,"Mare Island Dry Dock, LLC",BACT,1,152
2025-728531-Mission_Bell_Manufacturing__fid19692_nsr_728531_eval_112625_pdf__application_728531__eval_01.json,728531,Mission Bell Manufacturing,PSD_applicability,5,1912
2025-732101-Richmond_1001_Petroleum_Inc_111865__fid111865_nsr_732101_eval_120825_pdf__application_732101__eval_01.json,732101,Richmond 1001 Petroleum Inc #111865,PSD_applicability,1,179
2025-732412-EL_CAMINO_HIGH_SCHOOL__fid203996_nsr_732412_eval_111425_pdf__application_732412__eval_01.json,732412,EL CAMINO HIGH SCHOOL,,2,200
2025-732421-BART_POLICE_DEPARTMENT_HEADQUARTERS__fid203987_nsr_732421_eval_122225_pdf__application_732421__eval_01.json,732421,BART POLICE DEPARTMENT HEADQUARTERS,,2,1097
2025-734186-3955_Trust_Way_Hayward_CA_9454__fid22335_nsr_734186_eval_100925_pdf__application_734186__eval_01.json,734186,"3955 Trust Way Hayward, CA 9454",,4,1768
2025-unknown-County_of_San_Mateo__fid14877_nsr_700428_eval_032125_pdf__application_unknown__eval_01.json,,,background; emission_calculations; cumulative_increase; BACT; PSD_applicability; CEQA; Statement_of_Compliance; public_notification; permit_conditions; recommendation,1,89
