file,application_number,plant_name,empty_major_sections,unmapped_blocks,unmapped_chars
2023-29467-Eco_Services_Operations_Corp_Plant_22789__b1661_nsr_29467_eval_03222023_pdf__application_29467__eval_01.json,29467,"Eco Services Operations Corp, Plant: 22789",PSD_applicability,9,4786
2023-3-230_E_Grand_AVE__b8491_nsr_32079_eval_080223_pdf__application_3__eval_01.json,3,230 E Grand AVE,,3,2094
2023-3-Corteva_Agriscience_Pittsburg_Operations__fid24380_nsr_32033_eval_121323_pdf__application_3__eval_01.json,3,Corteva Agriscience – Pittsburg Operations,PSD_applicability,3,1355
2023-3-PLANT_NUMBER_A_9365__a9365_nsr_31918_eval_070723_pdf__application_3__eval_01.json,3,PLANT NUMBER A 9365,,7,1951
2023-31-3551_Wilbur_Avenue_Antioch_CA_94509__a9029_nsr_31805_eval_04142023_pdf__application_31__eval_01.json,31,"3551 Wilbur Avenue, Antioch, CA, 94509",BACT; PSD_applicability,0,0
2023-31232-Kaiser_Permanente_Regional_Lab_Annex__b5465_nsr_31232_eval_033023_pdf__application_31232__eval_01.json,31232,Kaiser Permanente – Regional Lab Annex,,1,101
2023-31318-Fairfield_Suisun_Sewer_District_Plant_1404__fid1404_nsr_31318_eval_122123_pdf__application_31318__eval_01.json,31318,"Fairfield Suisun Sewer District, Plant # 1404",BACT; PSD_applicability; CEQA; public_notification,1,171
2023-31492-equipment__a3140_nsr_31492_eval_021523_pdf__application_31492__eval_01.json,31492,equipment:,BACT; PSD_applicability; permit_conditions,0,0
2023-31494-2101_Polk_Street_San_Francisco_California_9_4109__e5232_nsr_31762_eval_030123_pdf__application_31494__eval_01.json,31494,"2101 Polk Street , San Francisco , California 9 4109",,0,0
2023-31578-Eastern_Park_Apartments__b1734_nsr_31578_eval_010623_pdf__application_31578__eval_01.json,31578,Eastern Park Apartments,cumulative_increase; PSD_applicability; CEQA; recommendation,5,5952
2023-31643-Ross_Valley_Sanitary_District__e5179_nsr_31643_eval_031723_pdf__application_31643__eval_01.json,31643,Ross Valley Sanitary District,BACT; PSD_applicability; CEQA; permit_conditions; recommendation,0,0
2023-31655-Foundry_31_LLC__e5115_nsr_31655_eval_031023_pdf__application_31655__eval_01.json,31655,"Foundry 31 , LLC",,0,0
2023-31685-701_Arguello_Street_Redwood_City_California_9_4063__e5201_nsr_31685_eval_022423_pdf__application_31685__eval_01.json,31685,"701 Arguello Street, Redwood City , California 9 4063",,0,0
2023-31741-City_of_Richmond_Wastewater_Treatment_Plant__a2482_nsr_31741_eval_072123_pdf__application_31741__eval_01.json,31741,City of Richmond Wastewater Treatment Plant,,0,0
2023-31761-TransMontaigne_Operating_Company_LP_Martinez_Terminal__fid24089_nsr_31761_eval_120723_pdf__application_31761__eval_01.json,31761,TransMontaigne Operating Company LP – Martinez Terminal,CEQA,1,187
2023-31772-Lehigh_Southwest_Cement_Company__a0017_erc_31772_drafteval_080423_pdf__application_31772__eval_01.json,31772,Lehigh Southwest Cement Company,cumulative_increase; BACT; PSD_applicability; CEQA; Statement_of_Compliance; public_notification; permit_conditions; recommendation,1,148
2023-31772-This_evaluation_report_will_estimate_the_ERCs_associated_with_t_he_per_manent_shutdown_of_S_141_S_142_S_154_S__a0017_erc_31772_drafteval_080423_pdf__application_31772__eval_01.json,31772,"This evaluation report will estimate the ERCs associated with t he per manent shutdown of S-141, S -142, S -154, S -",BACT; PSD_applicability; CEQA; public_notification,2,6543
