file,application_number,plant_name,empty_major_sections,unmapped_blocks,unmapped_chars
2022-30307-Golden_State_Pet_Crematorium__a7131_nsr_30307_eval_062922_pdf__application_30307__eval_01.json,30307,Golden State Pet Crematorium,cumulative_increase; PSD_applicability,4,911
2022-30768-21152_A_AND_CEQA_GUIDELINES_SECTION_15094__b2758_nsr_30768_eval_appendix_m_072222_pdf__application_30768__eval_01.json,30768,21152( A) AND CEQA GUIDELINES SECTION 15094.,emission_calculations; cumulative_increase; BACT; PSD_applicability; Statement_of_Compliance; public_notification; permit_conditions; recommendation,8,25940
2022-30768-Appendix_A_Marathon_Martinez_Fuel_Gas_System__b2758_nsr_30768_eval_appendix_a_g_072222_pdf__application_30768__eval_01.json,30768,Appendix A – Marathon Martinez Fuel Gas System,cumulative_increase; BACT; PSD_applicability; CEQA; Statement_of_Compliance; public_notification; permit_conditions; recommendation,73,286884
2022-30768-Appendix_J_Permit_Conditions__b2758_nsr_30768_eval_appendix_i_k_072222_pdf__application_30768__eval_01.json,30768,Appendix J – Permit Conditions,emission_calculations; cumulative_increase; BACT; PSD_applicability; CEQA; Statement_of_Compliance; public_notification; permit_conditions; recommendation,0,0
2022-30768-IV_Source_Specific_Applicable_Requirements__b2758_nsr_30768_eval_appendix_l_072222_pdf__application_30768__eval_01.json,30768,IV. Source -Specific Applicable Requirements,emission_calculations; cumulative_increase; BACT; PSD_applicability; CEQA; Statement_of_Compliance; public_notification; permit_conditions; recommendation,24,35764
2022-30768-Plant_Nos_14628_14629_21200__b2758_nsr_30768_eval_072222_pdf__application_30768__eval_01.json,30768,"Plant Nos. 14628 , 14629, 21200",cumulative_increase; PSD_applicability; CEQA; recommendation,1,43234
2022-30768-Tank_Dimensions_Throughput_and_Temperature_Profile__b2758_nsr_30768_eval_appendix_h_072222_pdf__application_30768__eval_01.json,30768,"Tank Dimensions, Throughput, and Temperature Profile",emission_calculations; cumulative_increase; BACT; PSD_applicability; CEQA; Statement_of_Compliance; public_notification; permit_conditions; recommendation,0,0
2022-30768-VI_Permit_Conditions__b2758_nsr_30768_eval_appendix_l_072222_pdf__application_30768__eval_01.json,30768,VI. Permit Conditions,recommendation,1587,527170
2022-30832-Nova_at_the_Vale_Building_C_1__e4830_nsr_30832_eval_022822_pdf__application_30832__eval_01.json,30832,Nova at the Vale - Building C -1,,0,0
2022-30933-University_of_Redlands__e4869_nsr_30933_eval_042822_pdf__application_30933__eval_01.json,30933,University of Redlands,,0,0
2022-30974-Senior_Air_Quality_Engineer__b1866_nsr_30974_eval_093022_pdf__application_30974__eval_01.json,30974,Senior Air Quality Engineer,cumulative_increase,0,0
2022-31039-290_27th_Street_Oakland_California_94612__e4932_nsr_31039_eval_072022_pdf__application_31039__eval_01.json,31039,"290 27th Street , Oakland, California 94612",public_notification,0,0
