notice_number,issue_date,violation_date,follow_up_status,disposition,disposition_date,business_name,equipment_description,violation_description,rules,find_detail_html,pdf_available,pdf_path,notes
P76003,10/13/2023,04/01/2022,In Compliance,,,"ECOBAT RESOURCES CALIFORNIA, INC.",,Failure of Facility Permit holder to submit Quarter 2 and Quarter 3 QCERs with accurate emissions. [2004(e)],"Violation Date - 04/01/2022 | Issue Date - 10/13/2023 | Notice Type - NOV | Business Name - ECOBAT RESOURCES CALIFORNIA, INC. | Facility ID - 8547 | Address - 720 S 7TH CITY OF INDUSTRY, CA 91746 | Follow Up Status - In Compliance | Disposition -  | 2004 - Requirements",c:\Users\aaw\Codex\Gopher\aqmd_find_nov\open_novs\P76003.html,yes,c:\Users\aaw\Codex\Gopher\aqmd_find_nov\open_novs\P76003.pdf,
P79157,02/29/2024,06/07/2023,In Compliance,,,"ECOBAT RESOURCES CALIFORNIA, INC.",Failure to conduct initial source test on new lead control device within 60 calendar days after initial start_up. Failure to submit a pre_test protocol for approcal at least 60 days prior to conducting a source test. Failure to submit source test reports,Failure to collect valid 24_hour lead sample for all monitoring sites. Failure to collect valid 24_hour arsenic sample for all monitoring sites. Failure to operate ambient air monitoring equipment in accordance with US EPA referenced methods.,"Violation Date - 06/07/2023 | Issue Date - 02/29/2024 | Notice Type - NOV | Business Name - ECOBAT RESOURCES CALIFORNIA, INC. | Facility ID - 8547 | Address - 720 S 7TH CITY OF INDUSTRY, CA 91746 | Equipment Description - Failure to conduct initial source test on new lead control device within 60 calendar days after initial start_up. Failure to submit a pre_test protocol for approcal at least 60 days prior to conducting a source test. Failure to submit source test reports | Follow Up Status - In Compliance | Disposition -  | 1420.1 - Emissions Standard for Lead from Large Lead-Acid Battery Recycling Facilities | 3002 - Requirements (Title V)",c:\Users\aaw\Codex\Gopher\aqmd_find_nov\open_novs\P79157.html,no,,OnBase compliance table did not expose a downloadable PDF
P79172,02/29/2024,01/01/2022,NOV,,,"ECOBAT RESOURCES CALIFORNIA, INC.",Failure to continuously maintain negative pressure of at least 0.02mm of hg (0.11 inches water)) for total enclosures. Failure to operate Device C89 in such a manner that the hourly monitored pH is at least 9.4. Failure to operate Device C40 in such a,Failure to continuously maintain negative pressure of _0.02 inches of water column or lower for Electric Arc Furnance D84. Failure to continuously maintain negative pressure of _0.02 inches of water column or lower for Reverb Furnance D8.,"Violation Date - 01/01/2022 | Issue Date - 02/29/2024 | Notice Type - NOV | Business Name - ECOBAT RESOURCES CALIFORNIA, INC. | Facility ID - 8547 | Address - 720 S 7TH CITY OF INDUSTRY, CA 91746 | Equipment Description - Failure to continuously maintain negative pressure of at least 0.02mm of hg (0.11 inches water)) for total enclosures. Failure to operate Device C89 in such a manner that the hourly monitored pH is at least 9.4. Failure to operate Device C40 in such a | Follow Up Status - NOV | Disposition -  | 1420.1 - Emissions Standard for Lead from Large Lead-Acid Battery Recycling Facilities | 221 - Plans | 3002 - Requirements (Title V) | 40 CFR - CFR",c:\Users\aaw\Codex\Gopher\aqmd_find_nov\open_novs\P79172.html,yes,c:\Users\aaw\Codex\Gopher\aqmd_find_nov\open_novs\P79172.pdf,
P80830,06/21/2024,01/01/2023,NOV,,,"ECOBAT RESOURCES CALIFORNIA, INC.","C161, Multi_metal CEMS, C139, C143, C147, C151, C155, C40, C89, C182, D3, C21, C88, C39, D8, D84, total enclosures.","Failed to maintain static diff. pressure, negative pressure, temp, pH, flow rate, voltage. Failed to permanently repair total enclosure gaps, cracks, breakthroughs within 72 hours of discovery.","Violation Date - 01/01/2023 | Issue Date - 06/21/2024 | Notice Type - NOV | Business Name - ECOBAT RESOURCES CALIFORNIA, INC. | Facility ID - 8547 | Address - 720 S 7TH CITY OF INDUSTRY, CA 91746 | Equipment Description - C161, Multi_metal CEMS, C139, C143, C147, C151, C155, C40, C89, C182, D3, C21, C88, C39, D8, D84, total enclosures. | Follow Up Status - NOV | Disposition -  | 1110.2 - Emissions from Gaseous-and Liquid-fueled Engines | 1420.1 - Emissions Standard for Lead from Large Lead-Acid Battery Recycling Facilities | 221 - Plans | 3002 - Requirements (Title V) | 40 CFR - CFR",c:\Users\aaw\Codex\Gopher\aqmd_find_nov\open_novs\P80830.html,yes,c:\Users\aaw\Codex\Gopher\aqmd_find_nov\open_novs\P80830.pdf,
P79476,11/19/2024,05/01/2023,Pending,,,"ECOBAT RESOURCES CALIFORNIA, INC.",,Inaccurate QCER for Quarter 1,"Violation Date - 05/01/2023 | Issue Date - 11/19/2024 | Notice Type - NOV | Business Name - ECOBAT RESOURCES CALIFORNIA, INC. | Facility ID - 8547 | Address - 720 S 7TH CITY OF INDUSTRY, CA 91746 | Follow Up Status - Pending | Disposition -  | 2004 - Requirements",c:\Users\aaw\Codex\Gopher\aqmd_find_nov\open_novs\P79476.html,no,,OnBase compliance table did not expose a downloadable PDF
P68909,01/30/2025,01/07/2025,In Compliance,,,"ECOBAT RESOURCES CALIFORNIA, INC.",breakdowns as required under Rule 403.,Failure to report breakdown/unplanned shutdown of emission control device and provide written notification report no later than three business days after the unplanned shutdown. Failure to comply with all regulatory requirements. Failure to report,"Violation Date - 01/07/2025 | Issue Date - 01/30/2025 | Notice Type - NOV | Business Name - ECOBAT RESOURCES CALIFORNIA, INC. | Facility ID - 8547 | Address - 720 S 7TH CITY OF INDUSTRY, CA 91746 | Equipment Description - breakdowns as required under Rule 403. | Follow Up Status - In Compliance | Disposition -  | 1420.1 - Emissions Standard for Lead from Large Lead-Acid Battery Recycling Facilities | 3002 - Requirements (Title V) | 430 - Breakdown Provisions",c:\Users\aaw\Codex\Gopher\aqmd_find_nov\open_novs\P68909.html,yes,c:\Users\aaw\Codex\Gopher\aqmd_find_nov\open_novs\P68909.pdf,
P69321,06/27/2025,01/02/2024,Pending,,,"ECOBAT RESOURCES CALIFORNIA, INC.","Total Enclosures, Furnaces, WESP, Baghouses","Failure to maintain negative pressure. Failure to report breakdown. Failure to use water/HEPA vacuum during maintenance activities. Failure to comply with all regulatory requirements, and all permit terms and conditions. Operated contrary to approved plan","Violation Date - 01/02/2024 | Issue Date - 06/27/2025 | Notice Type - NOV | Business Name - ECOBAT RESOURCES CALIFORNIA, INC. | Facility ID - 8547 | Address - 720 S 7TH CITY OF INDUSTRY, CA 91746 | Equipment Description - Total Enclosures, Furnaces, WESP, Baghouses | Follow Up Status - Pending | Disposition -  | 1420.1 - Emissions Standard for Lead from Large Lead-Acid Battery Recycling Facilities | 221 - Plans | 3002 - Requirements (Title V) | 40 CFR - CFR | 430 - Breakdown Provisions",c:\Users\aaw\Codex\Gopher\aqmd_find_nov\open_novs\P69321.html,yes,c:\Users\aaw\Codex\Gopher\aqmd_find_nov\open_novs\P69321.pdf,
P69327,11/07/2025,08/01/2025,In Compliance,,,"ECOBAT RESOURCES CALIFORNIA, INC.",,Failed to thoroughly survey the affected facility or facility components for the presence of asbestos prior to any demolition or renovation activity,"Violation Date - 08/01/2025 | Issue Date - 11/07/2025 | Notice Type - NOV | Business Name - ECOBAT RESOURCES CALIFORNIA, INC. | Facility ID - 8547 | Address - 720 S 7TH CITY OF INDUSTRY, CA 91746 | Follow Up Status - In Compliance | Disposition -  | 1403 - Asbestos Emissions from Demolition/Renovation Activities | 40 CFR - CFR",c:\Users\aaw\Codex\Gopher\aqmd_find_nov\open_novs\P69327.html,no,,OnBase compliance table did not expose a downloadable PDF
